"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"
"108"	"108"	"1"	"1"	"1"	"5.51542649161756"	"CENPF|1063"	"FERMT1|55612"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"109"	"109"	"1"	"1"	"1"	"5.64524668631351"	"EPAS1|2034"	"LGR4|55366"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"110"	"110"	"0.988888888888889"	"0.987341772151899"	"1"	"5.47815298186279"	"IQGAP3|128239"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TPM3|7170"
"111"	"111"	"0.988888888888889"	"0.987341772151899"	"1"	"5.12146459080467"	"EMP2|2013"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"TMPRSS4|56649"
"112"	"112"	"0.988888888888889"	"0.987341772151899"	"1"	"5.49829176401911"	"CENPF|1063"	"MACROD2|140733"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"113"	"113"	"1"	"1"	"1"	"6.09315804120716"	"C13orf15|28984"	"COL10A1|1300"	"COL12A1|1303"	"PYCR1|5831"	"SLC19A1|6573"
"114"	"114"	"0.977777777777778"	"0.974683544303797"	"1"	"5.46510842411348"	"ETV4|2118"	"LGR4|55366"	"RTKN2|219790"	"TNFAIP1|7126"	"TOP2A|7153"
"115"	"115"	"1"	"1"	"1"	"5.68065455308739"	"COL10A1|1300"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"116"	"116"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"5.69229699504013"	"FERMT1|55612"	"HYAL2|8692"	"MYO1C|4641"	"PYCR1|5831"	"RTKN2|219790"
"117"	"117"	"0.988888888888889"	"0.987341772151899"	"1"	"5.77218020886875"	"COL10A1|1300"	"MATN3|4148"	"PECAM1|5175"	"PYCR1|5831"	"SLC19A1|6573"
"118"	"118"	"1"	"1"	"1"	"4.85481211990276"	"KANK3|256949"	"LGR4|55366"	"POU2AF1|5450"	"PYCR1|5831"	"STARD7|56910"
"119"	"119"	"1"	"1"	"1"	"5.47109246100083"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"120"	"120"	"1"	"1"	"1"	"5.22853496942223"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"121"	"121"	"0.988888888888889"	"0.987341772151899"	"1"	"5.71573234658811"	"PYCR1|5831"	"RNH1|6050"	"RTKN2|219790"	"TMPRSS4|56649"	"TRAF1|7185"
"122"	"122"	"0.977777777777778"	"0.974683544303797"	"1"	"6.05154777170231"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"123"	"123"	"1"	"1"	"1"	"5.59643392386665"	"CASKIN2|57513"	"PYCR1|5831"	"RAB6A|5870"	"SLC19A1|6573"	"SPTBN2|6712"
"124"	"124"	"1"	"1"	"1"	"5.09281640917774"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"125"	"125"	"0.977777777777778"	"0.974683544303797"	"1"	"5.90664780257857"	"C13orf1|57213"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"126"	"126"	"1"	"1"	"1"	"5.59336721440354"	"HYAL2|8692"	"LTF|4057"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"127"	"127"	"0.988888888888889"	"0.987341772151899"	"1"	"5.97940941244898"	"COL10A1|1300"	"JAK3|3718"	"PECAM1|5175"	"PYCR1|5831"	"SLC19A1|6573"
"128"	"128"	"1"	"1"	"1"	"5.442046503357"	"EPAS1|2034"	"LOC84740|84740"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"129"	"129"	"0.977777777777778"	"0.974683544303797"	"1"	"5.92910553158768"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"URB1|9875"
"130"	"130"	"1"	"1"	"1"	"5.52660768730954"	"CORO1C|23603"	"FOLR2|2350"	"FUT2|2524"	"RTKN2|219790"	"TOP2A|7153"
"131"	"131"	"0.977777777777778"	"0.974683544303797"	"1"	"6.32848647662986"	"COL10A1|1300"	"EPAS1|2034"	"MYL9|10398"	"PYCR1|5831"	"SLC11A1|6556"
"132"	"132"	"1"	"1"	"1"	"5.51181455474598"	"DGKA|1606"	"EPAS1|2034"	"IDE|3416"	"PYCR1|5831"	"RTKN2|219790"
"133"	"133"	"0.988888888888889"	"0.987341772151899"	"1"	"6.01286161894133"	"CENPF|1063"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TMPRSS4|56649"
"134"	"134"	"0.988888888888889"	"0.987341772151899"	"1"	"5.78477747166951"	"CASKIN2|57513"	"LOC84740|84740"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"135"	"135"	"1"	"1"	"1"	"4.98135338649633"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"
"136"	"136"	"1"	"1"	"1"	"5.2295166456005"	"EPAS1|2034"	"KIAA0430|9665"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"
"137"	"137"	"1"	"1"	"1"	"5.27603725481028"	"COL17A1|1308"	"GGT5|2687"	"PECAM1|5175"	"PYCR1|5831"	"SLC19A1|6573"
"138"	"138"	"0.988888888888889"	"0.987341772151899"	"1"	"5.12849761816558"	"IDI1|3422"	"PNPLA6|10908"	"PYCR1|5831"	"RAMP2|10266"	"SLC19A1|6573"
"139"	"139"	"0.966666666666667"	"0.974683544303797"	"0.909090909090909"	"5.80609464628593"	"FERMT1|55612"	"HYAL2|8692"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"
"140"	"140"	"0.988888888888889"	"0.987341772151899"	"1"	"5.45561787931632"	"CASKIN2|57513"	"FUT2|2524"	"RNF149|284996"	"RTKN2|219790"	"TOP2A|7153"
"141"	"141"	"0.988888888888889"	"1"	"0.909090909090909"	"5.56308440694434"	"CYP51A1|1595"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"142"	"142"	"1"	"1"	"1"	"5.37784065326871"	"FERMT1|55612"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"143"	"143"	"1"	"1"	"1"	"6.11359016925239"	"FERMT1|55612"	"IQGAP3|128239"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"144"	"144"	"1"	"1"	"1"	"5.15647522245977"	"ETV4|2118"	"MME|4311"	"MMP11|4320"	"RTKN2|219790"	"TOP2A|7153"
"145"	"145"	"0.988888888888889"	"1"	"0.909090909090909"	"5.21197852148225"	"FERMT1|55612"	"HYAL2|8692"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"
"146"	"146"	"0.977777777777778"	"0.974683544303797"	"1"	"6.12527177924712"	"CLEC2D|29121"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"SYNJ2|8871"
"147"	"147"	"1"	"1"	"1"	"5.34050504927657"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"	"TNFAIP1|7126"
"148"	"148"	"1"	"1"	"1"	"5.47766300279513"	"ETV4|2118"	"KIF4A|24137"	"MME|4311"	"MMP11|4320"	"RTKN2|219790"
