"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"82"	"82"	"0.966666666666667"	"0.962025316455696"	"1"	"3.32423302837016"	"CBLB|868"	"CLIC5|53405"	"CRYAB|1410"	"GLT25D1|79709"	"PRSS16|10279"	"PSAT1|29968"	"SERPINH1|871"	"STC1|6781"
"83"	"83"	"0.988888888888889"	"0.987341772151899"	"1"	"2.98825472072517"	"CARHSP1|23589"	"CTSB|1508"	"OSCAR|126014"	"RHBDF1|64285"	"SEPT10|151011"	"SIX4|51804"	"TMEM51|55092"	"WDR12|55759"
"84"	"84"	"0.966666666666667"	"0.962025316455696"	"1"	"2.86781629378575"	"ARL4C|10123"	"CCDC21|64793"	"GPIHBP1|338328"	"KLC1|3831"	"NPAS2|4862"	"PTK6|5753"	"RILPL2|196383"	"SEPT10|151011"
"85"	"85"	"0.988888888888889"	"0.987341772151899"	"1"	"3.15266432980651"	"BPHL|670"	"EPHA4|2043"	"FAM125B|89853"	"FGD6|55785"	"GPIHBP1|338328"	"PSAT1|29968"	"PSD4|23550"	"SEPT10|151011"
"86"	"86"	"1"	"1"	"1"	"2.95627592987103"	"AIFM1|9131"	"BTNL9|153579"	"CCDC21|64793"	"CTSE|1510"	"DHCR24|1718"	"OSCAR|126014"	"SEPT10|151011"	"SLC35F5|80255"
"87"	"87"	"0.966666666666667"	"0.962025316455696"	"1"	"3.38782796876371"	"AHDC1|27245"	"C6orf174|387104"	"CDCA7|83879"	"EPCAM|4072"	"HBA1|3039"	"INPP5A|3632"	"PAK4|10298"	"PARD6B|84612"
"88"	"88"	"0.977777777777778"	"0.974683544303797"	"1"	"3.15283829014596"	"ATG16L1|55054"	"BTNL9|153579"	"FCHO2|115548"	"INTS8|55656"	"MPP5|64398"	"OSCAR|126014"	"SDC3|9672"	"SEPT10|151011"
"89"	"89"	"0.977777777777778"	"0.974683544303797"	"1"	"3.25100783055632"	"BTNL9|153579"	"DAB2IP|153090"	"ITGAE|3682"	"OSCAR|126014"	"PHGDH|26227"	"PSAT1|29968"	"PSD4|23550"	"SEPT10|151011"
"90"	"90"	"0.955555555555556"	"0.949367088607595"	"1"	"3.39618436699834"	"ACVR1B|91"	"BTNL9|153579"	"CALM1|801"	"DTX2|113878"	"EMP3|2014"	"ENO1|2023"	"PIM2|11040"	"VPS37B|79720"
"91"	"91"	"0.988888888888889"	"0.987341772151899"	"1"	"3.19004572156961"	"BTNL9|153579"	"CCDC21|64793"	"CTSE|1510"	"DHCR24|1718"	"OSCAR|126014"	"SEPT10|151011"	"SLC35F5|80255"	"TNS4|84951"
