"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"50"	"50"	"1"	"1"	"1"	"7.61261816182187"	"COL17A1|1308"	"MIF4GD|57409"	"PALM2-AKAP2|445815"	"PYCR1|5831"	"RTKN2|219790"	"SC4MOL|6307"	"SLC19A1|6573"	"SYNJ2|8871"
"51"	"51"	"0.988888888888889"	"0.987341772151899"	"1"	"7.64815522261719"	"EPAS1|2034"	"FDPS|2224"	"GOLM1|51280"	"LTF|4057"	"PAPSS1|9061"	"PYCR1|5831"	"SLC19A1|6573"	"URB1|9875"
"52"	"52"	"1"	"1"	"1"	"7.6944719696689"	"ABHD5|51099"	"C13orf1|57213"	"CASKIN2|57513"	"PYCR1|5831"	"RRP1B|23076"	"SLC19A1|6573"	"SPTBN2|6712"	"STEAP3|55240"
"53"	"53"	"1"	"1"	"1"	"7.50868153961795"	"CYP51A1|1595"	"EPAS1|2034"	"FERMT1|55612"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TOP2A|7153"	"TUBA1B|10376"
"54"	"54"	"0.988888888888889"	"1"	"0.909090909090909"	"7.49967575778294"	"ANKRD22|118932"	"FERMT1|55612"	"HYAL2|8692"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SLC19A1|6573"	"TSPAN13|27075"
"55"	"55"	"1"	"1"	"1"	"7.54290340817811"	"CENPF|1063"	"ENC1|8507"	"FOLR2|2350"	"PALM2-AKAP2|445815"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"
"56"	"56"	"1"	"1"	"1"	"7.32272588196826"	"ARL4A|10124"	"DUSP8|1850"	"EPAS1|2034"	"FERMT1|55612"	"LGR4|55366"	"PYCR1|5831"	"STARD7|56910"	"ZNF275|10838"
"57"	"57"	"0.988888888888889"	"0.987341772151899"	"1"	"7.22070509963866"	"COL10A1|1300"	"CYP51A1|1595"	"EPAS1|2034"	"FERMT1|55612"	"LGR4|55366"	"MYL6|4637"	"PYCR1|5831"	"SLC19A1|6573"
"58"	"58"	"0.988888888888889"	"0.987341772151899"	"1"	"8.1018053510935"	"ASPM|259266"	"CORO1C|23603"	"EMP2|2013"	"ETV4|2118"	"FOLR2|2350"	"PNPLA6|10908"	"RTKN2|219790"	"TMPRSS4|56649"
"59"	"59"	"0.988888888888889"	"0.987341772151899"	"1"	"8.25762207529704"	"ABCC3|8714"	"ALOX5AP|241"	"C13orf1|57213"	"CASKIN2|57513"	"MMP12|4321"	"PYCR1|5831"	"SLC19A1|6573"	"STEAP3|55240"
"60"	"60"	"0.988888888888889"	"0.987341772151899"	"1"	"8.27242070475574"	"DOPEY2|9980"	"MYO1C|4641"	"PNPLA6|10908"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"	"TRAF1|7185"
"61"	"61"	"0.977777777777778"	"0.974683544303797"	"1"	"8.48733517366213"	"ANKRD22|118932"	"CAT|847"	"FERMT1|55612"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SFRS11|9295"	"SLC19A1|6573"
"62"	"62"	"1"	"1"	"1"	"7.72621474396602"	"ABCC5|10057"	"HMGCS1|3157"	"HYAL2|8692"	"LGR4|55366"	"MMP11|4320"	"MYL9|10398"	"PYCR1|5831"	"RTKN2|219790"
"63"	"63"	"1"	"1"	"1"	"7.36201494629822"	"CEP350|9857"	"CYP51A1|1595"	"EPAS1|2034"	"FERMT1|55612"	"MACROD2|140733"	"PYCR1|5831"	"RNH1|6050"	"RTKN2|219790"
"64"	"64"	"1"	"1"	"1"	"7.54506576233359"	"ADAM8|101"	"CASKIN2|57513"	"ITM2C|81618"	"OTUD1|220213"	"PYCR1|5831"	"SLC19A1|6573"	"SNX17|9784"	"SPTBN2|6712"
"65"	"65"	"1"	"1"	"1"	"7.10172711850524"	"COL10A1|1300"	"EPAS1|2034"	"GOLM1|51280"	"INSIG1|3638"	"LTF|4057"	"MYL6|4637"	"PYCR1|5831"	"SLC19A1|6573"
