"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"
"86"	"86"	"0.988888888888889"	"0.987341772151899"	"1"	"7.88297409717384"	"C13orf1|57213"	"CASKIN2|57513"	"CD101|9398"	"F2RL1|2150"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"TRAF1|7185"
"87"	"87"	"0.988888888888889"	"0.987341772151899"	"1"	"8.5496636791317"	"ABCG1|9619"	"C1orf198|84886"	"COL10A1|1300"	"DGKA|1606"	"DOPEY2|9980"	"MYL9|10398"	"PDIK1L|149420"	"PYCR1|5831"
"88"	"88"	"1"	"1"	"1"	"7.06787585072742"	"ETV4|2118"	"FERMT1|55612"	"JAK3|3718"	"LGR4|55366"	"RNF149|284996"	"RTKN2|219790"	"TNFAIP1|7126"	"TOP2A|7153"
"89"	"89"	"0.988888888888889"	"1"	"0.909090909090909"	"8.80426818001796"	"CASKIN2|57513"	"CD101|9398"	"COL17A1|1308"	"PYCR1|5831"	"SC4MOL|6307"	"SLC19A1|6573"	"SPTBN2|6712"	"TRAF1|7185"
"90"	"90"	"1"	"1"	"1"	"7.57725282228242"	"CCL19|6363"	"COL10A1|1300"	"GJA5|2702"	"ISLR|3671"	"MYL6|4637"	"PRELP|5549"	"PYCR1|5831"	"SLC19A1|6573"
"91"	"91"	"1"	"1"	"1"	"7.40276039630011"	"ANKRD22|118932"	"NPL|80896"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SRPK1|6732"	"STX12|23673"	"USP48|84196"
"92"	"92"	"1"	"1"	"1"	"7.21987098623796"	"CYP51A1|1595"	"FERMT1|55612"	"HYAL2|8692"	"IQGAP3|128239"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"93"	"93"	"0.988888888888889"	"0.987341772151899"	"1"	"7.98688486514755"	"ARL4A|10124"	"C1orf198|84886"	"COL10A1|1300"	"DGKA|1606"	"EPAS1|2034"	"ISLR|3671"	"MYL9|10398"	"PYCR1|5831"
"94"	"94"	"1"	"1"	"1"	"9.80976438595453"	"C1orf198|84886"	"COL10A1|1300"	"COL12A1|1303"	"EPAS1|2034"	"KDM5B|10765"	"LGR4|55366"	"MYL6|4637"	"PYCR1|5831"
"95"	"95"	"1"	"1"	"1"	"7.65477013587609"	"ABCC3|8714"	"CORO1C|23603"	"FERMT1|55612"	"FOLR2|2350"	"FUT2|2524"	"HPCAL1|3241"	"RTKN2|219790"	"TOP2A|7153"
"96"	"96"	"0.988888888888889"	"0.987341772151899"	"1"	"8.68945213130601"	"ALOX5AP|241"	"CASKIN2|57513"	"COL10A1|1300"	"COL12A1|1303"	"PYCR1|5831"	"SLC19A1|6573"	"TSPAN13|27075"	"TTYH3|80727"
"97"	"97"	"0.988888888888889"	"1"	"0.909090909090909"	"7.66510325083884"	"ANKRD22|118932"	"B3GNT3|10331"	"C13orf1|57213"	"CD101|9398"	"CYP51A1|1595"	"HYAL2|8692"	"PYCR1|5831"	"SPNS1|83985"
"98"	"98"	"1"	"1"	"1"	"7.4107880115359"	"AKR1B10|57016"	"CYP51A1|1595"	"FUT8|2530"	"HYAL2|8692"	"LGR4|55366"	"PYCR1|5831"	"RTKN2|219790"	"STARD7|56910"
"99"	"99"	"1"	"1"	"1"	"7.1802220024132"	"DGKA|1606"	"EPAS1|2034"	"LGR4|55366"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"TOP2A|7153"	"TUBA1B|10376"
"100"	"100"	"1"	"1"	"1"	"7.38286640355163"	"C13orf1|57213"	"CASKIN2|57513"	"CD101|9398"	"ETV4|2118"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"TRAF1|7185"
