"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"
"45"	"45"	"1"	"1"	"1"	"8.48072514198101"	"BMF|90427"	"EMP2|2013"	"FOLR2|2350"	"IQGAP3|128239"	"KIF26B|55083"	"NFYB|4801"	"PNPLA6|10908"	"RTKN2|219790"	"TMPRSS4|56649"
"46"	"46"	"1"	"1"	"1"	"8.15940114207852"	"APOC1|341"	"EPAS1|2034"	"ETV4|2118"	"LGR4|55366"	"NPL|80896"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"STX3|6809"
"47"	"47"	"1"	"1"	"1"	"8.24632650867039"	"DGKA|1606"	"EPAS1|2034"	"LAMA2|3908"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SPTBN2|6712"	"SRPK1|6732"	"TMEM109|79073"
"48"	"48"	"1"	"1"	"1"	"8.10690908314045"	"ANKRD22|118932"	"C2CD2|25966"	"FERMT1|55612"	"IQGAP3|128239"	"OGDH|4967"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SLC19A1|6573"
"49"	"49"	"1"	"1"	"1"	"8.42189761086009"	"ETV4|2118"	"NPL|80896"	"PALM2-AKAP2|445815"	"PYCR1|5831"	"RNH1|6050"	"RTKN2|219790"	"SLC11A1|6556"	"SYNJ2|8871"	"WDR45L|56270"
"50"	"50"	"0.977777777777778"	"0.987341772151899"	"0.909090909090909"	"8.82243310500343"	"CASKIN2|57513"	"FDPS|2224"	"FERMT1|55612"	"PVRL4|81607"	"PYCR1|5831"	"RNF149|284996"	"RTKN2|219790"	"SLC19A1|6573"	"TOP2A|7153"
"51"	"51"	"1"	"1"	"1"	"9.50803407744018"	"ANKRD22|118932"	"FERMT1|55612"	"IQGAP3|128239"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TPM3|7170"	"USP48|84196"	"ZNF260|339324"
"52"	"52"	"1"	"1"	"1"	"8.82623307734104"	"CD101|9398"	"HYAL2|8692"	"IQGAP3|128239"	"NAPSB|256236"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"SLC2A1|6513"	"TPM3|7170"
"53"	"53"	"1"	"1"	"1"	"7.68177033931367"	"DOPEY2|9980"	"FERMT1|55612"	"HS6ST2|90161"	"IQGAP3|128239"	"PVR|5817"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"	"TPM3|7170"
"54"	"54"	"1"	"1"	"1"	"8.97964443250368"	"ANKRD22|118932"	"CORO1C|23603"	"DOPEY2|9980"	"FERMT1|55612"	"KIF20A|10112"	"PRR13|54458"	"PYCR1|5831"	"RTKN2|219790"	"SLC19A1|6573"
"55"	"55"	"0.988888888888889"	"0.987341772151899"	"1"	"8.2952129561055"	"ABHD5|51099"	"C13orf1|57213"	"CASKIN2|57513"	"COL17A1|1308"	"LOC84740|84740"	"OTUD1|220213"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"56"	"56"	"0.988888888888889"	"0.987341772151899"	"1"	"8.1927725314901"	"AP1S1|1174"	"PWP2|5822"	"PYCR1|5831"	"RTKN2|219790"	"SC4MOL|6307"	"SLC19A1|6573"	"TMPRSS4|56649"	"TOP2A|7153"	"TUBA1B|10376"
"57"	"57"	"1"	"1"	"1"	"8.8801815490355"	"EIF1|10209"	"ETV4|2118"	"ETV5|2119"	"FOLR2|2350"	"LTF|4057"	"PNPLA6|10908"	"RTKN2|219790"	"STX11|8676"	"TOP2A|7153"
"58"	"58"	"1"	"1"	"1"	"9.29147780192256"	"C1orf198|84886"	"COL10A1|1300"	"COL12A1|1303"	"HYAL2|8692"	"LGR4|55366"	"MMAB|326625"	"PYCR1|5831"	"TREM1|54210"	"WISP2|8839"
"59"	"59"	"1"	"1"	"1"	"8.66187322155674"	"ANKS1A|23294"	"DGKA|1606"	"MYL6|4637"	"PVR|5817"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"	"SRPK1|6732"	"XPO4|64328"
