"Index"	"Accuracy"	"Sensitivity"	"Specificity"	"T2"	"V1"	"V2"	"V3"
"131"	"131"	"0.977777777777778"	"0.974683544303797"	"1"	"3.69390578347066"	"PYCR1|5831"	"RTKN2|219790"	"SYNJ2|8871"
"132"	"132"	"1"	"1"	"1"	"4.1815889317966"	"C13orf15|28984"	"PYCR1|5831"	"SLC19A1|6573"
"133"	"133"	"0.977777777777778"	"0.974683544303797"	"1"	"4.54990827263079"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"134"	"134"	"1"	"1"	"1"	"4.3974053603122"	"COL10A1|1300"	"MYL9|10398"	"PYCR1|5831"
"135"	"135"	"0.988888888888889"	"0.987341772151899"	"1"	"4.26922251959192"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"136"	"136"	"0.988888888888889"	"0.987341772151899"	"1"	"4.11155041365495"	"DLG5|9231"	"EPAS1|2034"	"PYCR1|5831"
"137"	"137"	"0.977777777777778"	"0.974683544303797"	"1"	"4.16538218401207"	"C13orf15|28984"	"PYCR1|5831"	"SLC19A1|6573"
"138"	"138"	"1"	"1"	"1"	"4.03772265268382"	"EPAS1|2034"	"KIAA0430|9665"	"PYCR1|5831"
"139"	"139"	"1"	"1"	"1"	"3.89302431100364"	"C13orf15|28984"	"PYCR1|5831"	"SLC19A1|6573"
"140"	"140"	"1"	"1"	"1"	"3.83778548014436"	"CCL19|6363"	"PYCR1|5831"	"RAMP3|10268"
"141"	"141"	"0.988888888888889"	"0.987341772151899"	"1"	"4.13937550527706"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"142"	"142"	"1"	"1"	"1"	"3.90330166405355"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"143"	"143"	"0.977777777777778"	"0.974683544303797"	"1"	"4.31331093515423"	"C13orf15|28984"	"PYCR1|5831"	"SLC19A1|6573"
"144"	"144"	"1"	"1"	"1"	"4.30100789150386"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
"145"	"145"	"1"	"1"	"1"	"3.79723118758664"	"EPAS1|2034"	"PYCR1|5831"	"SLC19A1|6573"
"146"	"146"	"1"	"1"	"1"	"4.04063067466508"	"PYCR1|5831"	"SLC19A1|6573"	"SPTBN2|6712"
"147"	"147"	"0.988888888888889"	"0.987341772151899"	"1"	"3.91828878187323"	"HYAL2|8692"	"PYCR1|5831"	"RTKN2|219790"
